FORMATTED DATE-TIME           DT   MG   TR     WS     CW     HW     TP     WC     RH     HI     DP     WB      BP      AL       DA
YYYY-MM-DD HH:MM:SS            s  Mag True    mph    mph    mph     °C     °C      %     °C     °C     °C      mb       m        m
----------------------------------------------------------------------------------------------------------------------------------
2010-08-31 12:37:30    336573450  ***  ***    0.0    0.0    0.0   26.3   26.3   79.3   29.2   22.4   23.5 1013.70      -4      498
2010-08-31 12:38:00    336573480  ***  ***    0.0    0.0    0.0   26.2   26.2   78.7   28.9   22.2   23.3 1013.20       0      499
2010-08-31 12:38:30    336573510  ***  ***    0.0    0.0    0.0   26.1   26.1   79.6   28.8   22.3   23.3 1013.20      -1      498
2010-08-31 12:39:00    336573540  ***  ***    1.9    1.9    1.9   24.7   24.7   78.5   25.9   20.7   21.9 1013.60      -4      435
2010-08-31 12:39:30    336573570  ***  ***    1.6    1.6    1.6   24.6   24.6   81.9   26.0   21.3   22.2 1013.60      -3      433
2010-08-31 12:40:00    336573600  ***  ***    2.3    2.3    2.3   24.8   24.8   83.7   26.5   21.9   22.7 1013.50      -3      446
2010-08-31 12:40:30    336573630  ***  ***    2.7    2.7    2.7   24.5   24.5   83.5   26.0   21.5   22.4 1013.60      -4      432
2010-08-31 12:41:00    336573660  ***  ***    4.1    4.1    4.1   24.4   24.4   84.3   25.9   21.6   22.4 1013.60      -4      427
2010-08-31 12:41:30    336573690  ***  ***    1.3    1.3    1.3   24.6   24.6   85.1   26.2   21.9   22.7 1013.70      -4      437
2010-08-31 12:42:00    336573720  ***  ***    3.2    3.2    3.2   24.6   24.6   85.0   26.2   21.9   22.7 1013.60      -4      437
2010-08-31 12:42:30    336573750  ***  ***    1.8    1.8    1.8   25.0   25.0   85.3   27.0   22.3   23.0 1013.60      -4      453
2010-08-31 12:43:00    336573780  ***  ***    2.3    2.3    2.3   24.6   24.6   84.6   26.2   21.8   22.6 1013.60      -4      437
2010-08-31 12:43:30    336573810  ***  ***    1.5    1.5    1.5   24.5   24.5   84.6   26.1   21.7   22.5 1013.50      -3      434
2010-08-31 12:44:00    336573840  ***  ***    1.2    1.2    1.2   24.7   24.7   85.4   26.4   22.1   22.8 1013.50      -3      443
2010-08-31 12:44:30    336573870  ***  ***    2.3    2.3    2.3   24.7   24.7   85.2   26.4   22.0   22.7 1013.60      -4      440
2010-08-31 12:45:00    336573900  ***  ***    1.9    1.9    1.9   25.0   25.0   84.4   26.9   22.2   23.0 1013.60      -4      453
2010-08-31 12:45:30    336573930  ***  ***    1.8    1.8    1.8   24.9   24.9   84.3   26.7   22.1   22.9 1013.60      -4      448
2010-08-31 12:46:00    336573960  ***  ***    3.4    3.4    3.4   24.8   24.8   84.2   26.5   22.0   22.8 1013.70      -4      444
2010-08-31 12:46:30    336573990  ***  ***    3.6    3.6    3.6   24.8   24.8   83.8   26.5   21.8   22.7 1013.60      -3      443
2010-08-31 12:47:00    336574020  ***  ***    2.2    2.2    2.2   25.4   25.4   86.0   28.0   22.9   23.6 1013.60      -4      471
2010-08-31 12:47:30    336574050  ***  ***    2.7    2.7    2.7   24.8   24.8   83.8   26.5   21.9   22.7 1013.60      -4      446
2010-08-31 12:48:00    336574080  ***  ***    2.0    2.0    2.0   25.4   25.4   84.9   27.9   22.7   23.4 1013.60      -4      471
2010-08-31 12:48:30    336574110  ***  ***    1.7    1.7    1.7   25.2   25.2   82.8   27.2   22.1   23.0 1013.60      -3      459
2010-08-31 12:49:00    336574140  ***  ***    3.0    3.0    3.0   26.0   26.0   85.0   29.2   23.3   24.0 1013.70      -4      495
2010-08-31 12:49:30    336574170  ***  ***    1.7    1.7    1.7   26.2   26.2   83.5   29.4   23.2   24.0 1013.70      -4      500
2010-08-31 12:50:00    336574200  ***  ***    1.5    1.5    1.5   25.9   25.9   82.1   28.6   22.6   23.5 1013.70      -4      486
2010-08-31 12:50:30    336574230  ***  ***    4.2    4.2    4.2   25.2   25.2   80.7   27.1   21.6   22.6 1013.50      -3      457
2010-08-31 12:51:00    336574260  ***  ***    1.8    1.8    1.8   25.1   25.1   81.6   26.9   21.8   22.7 1013.60      -3      456
2010-08-31 12:51:30    336574290  ***  ***    2.1    2.1    2.1   25.9   25.9   83.1   28.7   22.8   23.7 1013.60      -3      487
2010-08-31 12:52:00    336574320  ***  ***    1.0    1.0    1.0   26.8   26.8   83.6   30.7   23.8   24.6 1013.60      -4      529
2010-08-31 12:52:30    336574350  ***  ***    1.9    1.9    1.9   26.1   26.1   81.4   28.9   22.7   23.6 1013.70      -4      492
2010-08-31 12:53:00    336574380  ***  ***    1.4    1.4    1.4   26.7   26.7   81.1   30.2   23.2   24.1 1013.80      -5      519
