FORMATTED DATE-TIME           DT   MG   TR     WS     CW     HW     TP     WC     RH     HI     DP     WB      BP      AL       DA
YYYY-MM-DD HH:MM:SS            s  Mag True    mph    mph    mph     °C     °C      %     °C     °C     °C      mb       m        m
----------------------------------------------------------------------------------------------------------------------------------
2010-09-01 15:52:30    336671550  ***  ***    0.0    0.0    0.0   31.0   31.0   48.1   33.1   18.7   22.4 1010.50      21      670
2010-09-01 15:53:00    336671580  ***  ***    1.5    1.5    1.5   30.7   30.7   49.6   33.0   19.0   22.5 1010.40      22      664
2010-09-01 15:53:30    336671610  ***  ***    9.8    9.8    9.8   29.0   29.0   50.9   30.2   17.8   21.3 1010.50      21      596
2010-09-01 15:54:00    336671640  ***  ***    6.5    6.5    6.5   28.8   28.8   53.5   30.3   18.4   21.6 1010.50      21      595
2010-09-01 15:54:30    336671670  ***  ***    8.9    8.9    8.9   28.6   28.6   54.1   30.0   18.4   21.5 1010.50      21      587
2010-09-01 15:55:00    336671700  ***  ***    4.5    4.5    4.5   28.5   28.5   54.2   29.9   18.3   21.4 1010.40      21      582
2010-09-01 15:55:30    336671730  ***  ***    8.6    8.6    8.6   28.4   28.4   54.9   29.7   18.5   21.5 1010.50      21      582
2010-09-01 15:56:00    336671760  ***  ***    7.1    7.1    7.1   28.4   28.4   55.3   29.8   18.6   21.6 1010.40      21      582
2010-09-01 15:56:30    336671790  ***  ***    9.2    9.2    9.2   28.4   28.4   55.6   29.8   18.6   21.6 1010.50      21      580
2010-09-01 15:57:00    336671820  ***  ***    6.6    6.6    6.6   28.4   28.4   55.5   29.8   18.6   21.6 1010.50      21      581
2010-09-01 15:57:30    336671850  ***  ***    7.0    7.0    7.0   28.9   28.9   55.6   30.8   19.1   22.0 1010.50      21      600
2010-09-01 15:58:00    336671880  ***  ***    4.2    4.2    4.2   29.0   29.0   55.0   30.9   19.0   22.0 1010.50      21      603
2010-09-01 15:58:30    336671910  ***  ***    7.0    7.0    7.0   29.0   29.0   54.0   30.7   18.8   21.9 1010.50      21      603
2010-09-01 15:59:00    336671940  ***  ***    5.0    5.0    5.0   29.7   29.7   54.7   32.1   19.6   22.6 1010.50      21      630
2010-09-01 15:59:30    336671970  ***  ***    9.2    9.2    9.2   29.3   29.3   53.5   31.2   18.8   22.0 1010.50      21      611
2010-09-01 16:00:00    336672000  ***  ***    3.5    3.5    3.5   29.7   29.7   54.1   32.0   19.5   22.5 1010.50      21      630
2010-09-01 16:00:30    336672030  ***  ***   10.7   10.7   10.7   29.2   29.2   52.7   30.9   18.5   21.8 1010.50      21      607
2010-09-01 16:01:00    336672060  ***  ***    7.1    7.1    7.1   29.1   29.1   53.0   30.7   18.6   21.8 1010.50      21      606
2010-09-01 16:01:30    336672090  ***  ***    4.6    4.6    4.6   29.4   29.4   53.5   31.4   19.0   22.1 1010.40      21      618
2010-09-01 16:02:00    336672120  ***  ***    8.8    8.8    8.8   29.4   29.4   53.3   31.3   18.9   22.1 1010.50      21      615
2010-09-01 16:02:30    336672150  ***  ***    8.9    8.9    8.9   30.0   30.0   53.3   32.4   19.4   22.5 1010.50      21      639
2010-09-01 16:03:00    336672180  ***  ***    9.3    9.3    9.3   29.6   29.6   52.5   31.6   18.9   22.1 1010.40      22      624
2010-09-01 16:03:30    336672210  ***  ***    8.1    8.1    8.1   29.1   29.1   51.1   30.5   18.0   21.4 1010.30      22      603
2010-09-01 16:04:00    336672240  ***  ***    8.8    8.8    8.8   28.9   28.9   52.0   30.2   18.1   21.4 1010.40      22      596
2010-09-01 16:04:30    336672270  ***  ***   11.7   11.7   11.7   28.7   28.7   52.0   29.9   17.9   21.3 1010.40      21      588
2010-09-01 16:05:00    336672300  ***  ***    4.7    4.7    4.7   29.1   29.1   52.9   30.7   18.5   21.7 1010.50      21      603
2010-09-01 16:05:30    336672330  ***  ***    5.2    5.2    5.2   28.9   28.9   52.6   30.3   18.2   21.5 1010.40      22      597
2010-09-01 16:06:00    336672360  ***  ***    5.8    5.8    5.8   29.2   29.2   52.5   30.9   18.5   21.8 1010.30      22      610
2010-09-01 16:06:30    336672390  ***  ***    7.5    7.5    7.5   29.0   29.0   51.5   30.3   18.0   21.4 1010.40      22      597
2010-09-01 16:07:00    336672420  ***  ***    5.1    5.1    5.1   29.6   29.6   52.2   31.5   18.7   22.0 1010.40      21      622
2010-09-01 16:07:30    336672450  ***  ***    6.8    6.8    6.8   29.7   29.7   51.4   31.6   18.6   21.9 1010.40      21      626
2010-09-01 16:08:00    336672480  ***  ***   11.0   11.0   11.0   29.6   29.6   50.6   31.2   18.3   21.8 1010.50      21      621
2010-09-01 16:08:30    336672510  ***  ***    8.9    8.9    8.9   29.5   29.5   50.5   31.1   18.1   21.6 1010.40      22      615
2010-09-01 16:09:00    336672540  ***  ***    6.4    6.4    6.4   30.2   30.2   51.4   32.4   19.1   22.4 1010.40      22      645
2010-09-01 16:09:30    336672570  ***  ***    7.8    7.8    7.8   29.7   29.7   50.0   31.3   18.1   21.7 1010.40      22      622
2010-09-01 16:10:00    336672600  ***  ***    5.9    5.9    5.9   29.6   29.6   50.9   31.3   18.4   21.8 1010.30      22      622
2010-09-01 16:10:30    336672630  ***  ***    6.1    6.1    6.1   30.2   30.2   51.7   32.5   19.2   22.5 1010.40      21      648
2010-09-01 16:11:00    336672660  ***  ***    6.5    6.5    6.5   29.4   29.4   50.9   30.9   18.2   21.6 1010.40      21      615
2010-09-01 16:11:30    336672690  ***  ***   10.9   10.9   10.9   29.7   29.7   51.2   31.5   18.6   21.9 1010.40      21      625
2010-09-01 16:12:00    336672720  ***  ***    9.0    9.0    9.0   29.5   29.5   49.2   30.9   17.7   21.4 1010.30      22      616
2010-09-01 16:12:30    336672750  ***  ***    8.3    8.3    8.3   30.0   30.0   50.2   31.9   18.5   22.0 1010.30      23      635
2010-09-01 16:13:00    336672780  ***  ***    8.2    8.2    8.2   30.3   30.3   51.2   32.6   19.1   22.4 1010.30      22      651
2010-09-01 16:13:30    336672810  ***  ***    4.7    4.7    4.7   30.0   30.0   50.4   31.9   18.5   22.0 1010.30      23      637
2010-09-01 16:14:00    336672840  ***  ***    8.0    8.0    8.0   29.9   29.9   50.5   31.8   18.5   22.0 1010.30      22      634
2010-09-01 16:14:30    336672870  ***  ***    3.2    3.2    3.2   30.5   30.5   51.2   32.9   19.3   22.6 1010.30      23      660
2010-09-01 16:15:00    336672900  ***  ***    6.7    6.7    6.7   30.7   30.7   51.3   33.3   19.5   22.8 1010.20      23      665
2010-09-01 16:15:30    336672930  ***  ***    6.9    6.9    6.9   30.3   30.3   50.5   32.5   18.9   22.3 1010.30      23      651
2010-09-01 16:16:00    336672960  ***  ***   10.2   10.2   10.2   29.8   29.8   49.2   31.4   18.0   21.6 1010.20      23      628
2010-09-01 16:16:30    336672990  ***  ***    4.4    4.4    4.4   30.5   30.5   51.1   32.9   19.2   22.6 1010.20      24      658
2010-09-01 16:17:00    336673020  ***  ***    8.4    8.4    8.4   30.3   30.3   51.0   32.6   19.0   22.4 1010.20      23      651
2010-09-01 16:17:30    336673050  ***  ***    4.5    4.5    4.5   29.8   29.8   50.2   31.5   18.3   21.8 1010.20      24      628
2010-09-01 16:18:00    336673080  ***  ***    9.7    9.7    9.7   30.1   30.1   51.2   32.2   18.9   22.2 1010.10      24      643
2010-09-01 16:18:30    336673110  ***  ***    8.5    8.5    8.5   30.1   30.1   51.5   32.3   19.0   22.3 1010.10      24      645
2010-09-01 16:19:00    336673140  ***  ***    5.0    5.0    5.0   30.2   30.2   51.6   32.4   19.2   22.5 1010.10      24      651
2010-09-01 16:19:30    336673170  ***  ***    7.0    7.0    7.0   30.3   30.3   51.9   32.7   19.3   22.5 1010.10      24      653
2010-09-01 16:20:00    336673200  ***  ***   11.1   11.1   11.1   30.0   30.0   51.0   32.0   18.8   22.2 1010.10      24      640
2010-09-01 16:20:30    336673230  ***  ***    8.5    8.5    8.5   30.8   30.8   51.5   33.5   19.7   23.0 1010.10      24      673
2010-09-01 16:21:00    336673260  ***  ***    5.5    5.5    5.5   30.2   30.2   50.1   32.2   18.6   22.1 1010.10      24      645
2010-09-01 16:21:30    336673290  ***  ***    5.1    5.1    5.1   29.8   29.8   50.2   31.5   18.3   21.8 1010.10      24      629
2010-09-01 16:22:00    336673320  ***  ***    7.7    7.7    7.7   29.5   29.5   49.4   30.9   17.8   21.4 1010.00      25      619
2010-09-01 16:22:30    336673350  ***  ***    4.9    4.9    4.9   29.7   29.7   50.2   31.3   18.2   21.7 1010.00      25      628
2010-09-01 16:23:00    336673380  ***  ***    8.3    8.3    8.3   30.1   30.1   50.9   32.1   18.8   22.2 1010.00      25      647
2010-09-01 16:23:30    336673410  ***  ***    6.8    6.8    6.8   29.9   29.9   50.8   31.8   18.6   22.0 1010.00      25      638
2010-09-01 16:24:00    336673440  ***  ***    6.2    6.2    6.2   30.3   30.3   51.5   32.6   19.2   22.5 1010.00      25      655
2010-09-01 16:24:30    336673470  ***  ***    5.9    5.9    5.9   30.6   30.6   51.2   33.1   19.3   22.7 1010.00      25      663
2010-09-01 16:25:00    336673500  ***  ***    6.3    6.3    6.3   30.8   30.8   50.9   33.3   19.5   22.8 1010.10      24      673
2010-09-01 16:25:30    336673530  ***  ***    5.5    5.5    5.5   30.3   30.3   50.6   32.5   18.9   22.3 1010.00      25      651
2010-09-01 16:26:00    336673560  ***  ***    7.8    7.8    7.8   30.5   30.5   51.5   33.0   19.4   22.7 1010.00      25      661
2010-09-01 16:26:30    336673590  ***  ***    6.8    6.8    6.7   30.0   30.0   51.4   32.1   18.9   22.2 1010.00      25      643
2010-09-01 16:27:00    336673620  ***  ***   11.6   11.6   11.6   30.4   30.4   52.3   33.0   19.5   22.7 1010.00      25      658
2010-09-01 16:27:30    336673650  ***  ***    7.7    7.7    7.7   30.2   30.2   51.3   32.4   19.0   22.4 1010.00      25      649
2010-09-01 16:28:00    336673680  ***  ***    7.1    7.1    7.1   29.3   29.3   50.2   30.7   17.8   21.4 1010.00      25      611
2010-09-01 16:28:30    336673710  ***  ***    5.9    5.9    5.9   30.0   30.0   52.0   32.2   19.0   22.3 1010.00      25      642
2010-09-01 16:29:00    336673740  ***  ***    5.3    5.3    5.3   30.0   30.0   51.9   32.2   19.0   22.3 1010.00      25      642
2010-09-01 16:29:30    336673770  ***  ***    6.6    6.6    6.6   30.8   30.8   52.3   33.7   19.9   23.0 1010.20      24      673
2010-09-01 16:30:00    336673800  ***  ***    4.1    4.1    4.1   30.6   30.6   50.5   33.0   19.1   22.5 1010.10      24      660
2010-09-01 16:30:30    336673830  ***  ***    7.6    7.6    7.6   30.6   30.6   51.2   33.1   19.4   22.7 1010.00      25      666
2010-09-01 16:31:00    336673860  ***  ***    7.0    7.0    7.0   30.7   30.7   51.9   33.4   19.7   22.9 1010.00      25      670
2010-09-01 16:31:30    336673890  ***  ***    4.2    4.2    4.2   30.5   30.5   51.6   33.0   19.4   22.7 1010.10      24      663
2010-09-01 16:32:00    336673920  ***  ***    6.7    6.7    6.7   30.4   30.4   51.0   32.7   19.1   22.5 1010.10      24      655
2010-09-01 16:32:30    336673950  ***  ***    8.0    8.0    8.0   30.3   30.3   51.4   32.6   19.1   22.4 1010.00      25      652
2010-09-01 16:33:00    336673980  ***  ***    5.9    5.9    5.9   30.4   30.4   51.4   32.8   19.2   22.5 1009.90      25      656
2010-09-01 16:33:30    336674010  ***  ***    4.5    4.5    4.5   30.0   30.0   50.1   31.9   18.4   21.9 1009.90      26      639
2010-09-01 16:34:00    336674040  ***  ***    9.8    9.8    9.8   30.5   30.5   51.2   32.9   19.3   22.6 1010.00      25      660
2010-09-01 16:34:30    336674070  ***  ***   11.7   11.7   11.7   29.7   29.7   50.4   31.3   18.3   21.8 1010.20      24      627
2010-09-01 16:35:00    336674100  ***  ***    7.7    7.7    7.7   30.0   30.0   50.9   32.0   18.7   22.1 1010.00      25      642
2010-09-01 16:35:30    336674130  ***  ***    4.5    4.5    4.5   30.2   30.2   51.0   32.4   18.9   22.3 1010.00      25      648
2010-09-01 16:36:00    336674160  ***  ***    5.1    5.1    5.1   30.8   30.8   51.9   33.6   19.8   23.0 1010.00      25      676
2010-09-01 16:36:30    336674190  ***  ***    5.3    5.3    5.3   30.3   30.3   50.5   32.5   18.9   22.3 1010.00      25      651
2010-09-01 16:37:00    336674220  ***  ***    6.5    6.5    6.5   29.8   29.8   50.4   31.5   18.4   21.9 1009.90      26      632
